Timestamp,Torque,Temperature,RPM
1695654568,2.28,30.49,0.00
1695654569,2.26,29.74,0.00
1695654570,2.25,29.33,0.00
1695654571,2.24,29.15,0.00
1695654572,2.23,28.04,0.00
1695654573,2.22,28.23,0.00
1695654573,2.20,27.83,0.00
1695654574,2.20,28.17,0.00
1695654575,2.19,27.78,0.00
1695654576,2.19,27.21,0.00
1695654577,2.18,26.76,0.00
1695654578,2.17,26.55,0.00
1695654579,2.17,26.78,0.00
1695654579,2.16,26.40,0.00
1695654580,2.15,25.85,0.00
1695654581,2.15,25.45,0.00
1695654582,2.14,26.05,0.00
1695654583,2.14,25.66,0.00
1695654584,2.13,25.37,0.00
1695654585,2.12,25.33,0.00
1695654585,2.11,25.23,0.00
1695654586,2.11,24.82,0.00
1695654587,2.10,24.89,0.00
1695654588,2.09,24.56,0.00
1695654589,2.09,24.32,0.00
1695654590,2.09,24.35,0.00
1695654590,2.08,23.99,0.00
1695654591,2.07,23.82,0.00
1695654592,2.07,23.69,0.00
1695654593,2.07,23.46,0.00
1695654594,2.06,23.28,0.00
1695654595,2.06,22.99,0.00
1695654596,2.06,22.90,0.00
1695654596,2.06,22.76,0.00
1695654597,2.05,22.52,0.00
1695654598,2.06,22.49,0.00
1695654599,2.05,22.17,0.00
1695654600,2.05,22.05,0.00
1695654601,2.05,21.94,0.00
1695654601,2.05,21.77,0.00
1695654602,2.04,21.62,0.00
1695654603,2.04,21.31,0.00
1695654604,2.04,21.35,0.00
1695654605,2.04,21.33,0.00
1695654606,2.03,21.19,0.00
1695654607,2.03,21.08,0.00
1695654607,2.03,20.98,0.00
1695654608,2.03,20.93,0.00
1695654609,2.02,20.81,0.00
1695654610,2.02,20.88,0.00
1695654611,2.02,20.78,0.00
1695654612,2.02,20.58,0.00
1695654613,2.02,20.45,0.00
1695654613,2.02,20.48,0.00
1695654614,2.02,20.38,0.00
1695654615,2.01,20.22,0.00
1695654616,2.02,20.25,0.00
1695654617,2.01,20.05,0.00
1695654618,2.01,19.95,0.00
1695654618,2.01,19.75,0.00
1695654619,2.01,19.75,0.00
1695654620,2.02,19.74,0.00
1695654621,2.03,19.69,0.00
1695654622,2.03,19.66,0.00
1695654623,2.00,18.07,0.00
1695654624,1.99,17.04,0.00
1695654624,1.99,18.63,0.00
1695654625,2.00,18.43,0.00
1695654626,2.00,18.77,0.00
1695654627,2.00,18.81,0.00
1695654628,2.00,18.39,0.00
1695654629,2.00,18.14,0.00
1695654630,2.01,18.09,0.00
1695654630,1.99,17.94,0.00
1695654631,2.00,17.53,0.00
1695654632,2.00,17.71,0.00
1695654633,2.00,17.47,0.00
1695654634,2.00,17.51,0.00
1695654635,2.00,17.48,0.00
1695654635,2.00,17.26,0.00
1695654636,2.00,17.08,0.00
1695654637,2.00,17.18,0.00
1695654638,2.01,17.34,0.00
1695654639,2.01,16.54,0.00
1695654640,2.01,16.55,0.00
1695654641,2.01,16.49,0.00
1695654641,2.02,16.31,0.00
1695654642,2.02,16.29,0.00
1695654643,2.03,16.39,0.00
1695654644,2.03,16.20,0.00
1695654645,2.03,16.26,0.00
1695654646,2.03,16.20,0.00
1695654646,2.04,16.05,0.00
1695654647,2.04,16.13,0.00
1695654648,13.94,19.31,0.00
1695654649,19.79,24.81,0.00
1695654650,19.79,29.35,0.00
1695654651,19.79,32.62,0.00
1695654652,19.79,34.69,0.00
1695654652,19.79,35.57,0.00
1695654653,12.41,34.62,0.00
1695654654,8.91,32.67,0.00
1695654655,8.30,32.33,0.00
1695654656,8.03,31.84,0.00
1695654657,7.88,30.85,0.00
1695654658,7.76,31.86,0.00
1695654658,7.64,32.22,0.00
1695654659,7.53,32.48,0.00
1695654660,7.46,32.17,0.00
1695654661,7.40,31.19,0.00
1695654662,7.33,31.15,0.00
1695654663,7.27,30.65,0.00
1695654663,7.23,29.85,0.00
1695654664,7.19,29.92,0.00
1695654665,7.15,29.47,0.00
1695654666,7.11,29.00,0.00
1695654667,7.08,28.40,0.00
1695654668,7.06,28.31,0.00
1695654669,7.03,28.07,0.00
1695654669,7.02,27.91,0.00
1695654670,6.99,27.39,0.00
1695654671,6.96,27.01,0.00
1695654672,6.94,27.01,0.00
1695654673,6.91,26.49,0.00
1695654674,6.88,26.32,0.00
1695654674,6.86,26.26,0.00
1695654675,6.83,25.85,0.00
1695654676,6.77,25.57,0.00
1695654677,6.74,25.35,0.00
1695654678,6.73,25.47,0.00
1695654679,6.72,25.24,0.00
1695654680,6.72,24.95,0.00
1695654680,6.71,24.78,0.00
1695654681,6.70,24.62,0.00
1695654682,6.68,24.27,0.00
1695654683,6.66,24.28,0.00
1695654684,6.64,24.16,0.00
1695654685,6.63,23.92,0.00
1695654686,6.63,23.56,0.00
1695654686,6.62,23.39,0.00
1695654687,6.61,23.30,0.00
1695654688,6.60,23.11,0.00
1695654689,6.59,22.93,0.00
1695654690,6.58,22.85,0.00
1695654691,6.57,22.76,0.00
1695654691,6.55,22.68,0.00
1695654692,6.55,22.52,0.00
1695654693,6.55,22.28,0.00
1695654694,6.55,22.10,0.00
1695654695,6.54,21.96,0.00
1695654696,6.53,21.78,0.00
1695654697,6.52,21.67,0.00
1695654697,6.52,21.56,0.00
1695654698,6.51,21.40,0.00
1695654699,6.50,21.43,0.00
1695654700,6.49,21.27,0.00
1695654701,6.48,21.21,0.00
1695654702,6.47,21.08,0.00
1695654702,6.47,21.15,0.00
1695654703,6.46,21.00,0.00
1695654704,6.45,20.89,0.00
1695654705,6.44,20.73,0.00
1695654706,6.44,20.65,0.00
1695654707,6.43,20.52,0.00
1695654708,6.43,20.38,0.00
1695654708,6.42,20.26,0.00
1695654709,6.40,20.08,0.00
1695654710,6.40,20.01,0.00
1695654711,6.39,19.92,0.00
1695654712,6.38,19.94,0.00
1695654713,6.38,19.85,0.00
1695654714,6.37,19.61,0.00
1695654714,6.37,19.47,0.00
1695654715,6.37,19.70,0.00
1695654716,6.36,19.05,0.00
1695654717,6.34,16.90,0.00
1695654718,6.32,17.34,0.00
1695654719,6.30,18.34,0.00
1695654719,6.30,18.10,0.00
1695654720,6.29,17.97,0.00
1695654721,6.28,18.08,0.00
1695654722,6.28,18.33,0.00
1695654723,6.27,18.24,0.00
1695654724,6.26,18.37,0.00
1695654725,6.26,18.16,0.00
1695654725,6.25,17.82,0.00
1695654726,6.24,18.05,0.00
1695654727,6.24,17.78,0.00
1695654728,6.23,17.79,0.00
1695654729,6.23,17.60,0.00
1695654730,6.22,17.56,0.00
1695654730,6.21,17.70,0.00
1695654731,6.19,17.90,0.00
1695654732,6.18,17.52,0.00
1695654733,6.18,17.56,0.00
1695654734,6.17,17.09,0.00
1695654735,6.16,17.40,0.00
1695654736,6.14,17.61,0.00
1695654736,6.13,17.82,0.00
1695654737,6.13,16.81,0.00
1695654738,6.09,16.66,0.00
1695654739,6.04,16.73,0.00
1695654740,6.03,16.46,0.00
1695654741,6.01,16.38,0.00
1695654742,5.98,16.31,0.00
1695654742,5.96,16.23,0.00
1695654743,5.94,16.16,0.00
1695654744,5.92,16.10,0.00
1695654745,5.91,15.90,0.00
1695654746,5.89,16.03,0.00
1695654747,12.28,17.55,0.00
1695654747,16.05,23.95,0.00
1695654748,15.61,29.59,0.00
1695654749,15.29,33.24,0.00
1695654750,13.76,35.46,0.00
1695654751,11.98,35.71,0.00
1695654752,12.97,34.81,0.00
1695654753,9.18,33.54,0.00
1695654753,7.76,31.38,0.00
1695654754,7.62,32.25,0.00
1695654755,7.55,31.48,0.00
1695654756,7.46,31.28,0.00
1695654757,7.26,32.00,0.00
1695654758,7.08,32.13,0.00
1695654758,6.96,31.52,0.00
1695654759,6.90,31.65,0.00
1695654760,6.85,30.28,0.00
1695654761,6.80,30.45,0.00
1695654762,6.76,30.44,0.00
1695654763,6.73,30.11,0.00
1695654764,6.68,29.44,0.00
1695654764,6.65,28.48,0.00
1695654765,6.61,28.17,0.00
1695654766,6.59,27.62,0.00
1695654767,6.57,27.85,0.00
1695654768,6.55,27.51,0.00
1695654769,6.54,27.60,0.00
1695654770,6.52,26.75,0.00
1695654770,6.49,26.05,0.00
1695654771,6.48,25.80,0.00
1695654772,6.47,25.79,0.00
1695654773,6.46,25.73,0.00
1695654774,6.46,25.50,0.00
1695654775,6.44,25.48,0.00
1695654775,6.43,25.19,0.00
1695654776,6.42,25.06,0.00
1695654777,6.41,24.79,0.00
1695654778,6.40,24.53,0.00
1695654779,6.39,24.11,0.00
1695654780,6.38,23.95,0.00
1695654781,6.37,23.76,0.00
1695654781,6.37,23.62,0.00
1695654782,6.36,23.41,0.00
1695654783,6.36,23.14,0.00
1695654784,6.35,23.25,0.00
1695654785,6.34,23.17,0.00
1695654786,6.34,23.22,0.00
1695654786,6.33,23.08,0.00
1695654787,6.32,23.01,0.00
1695654788,6.31,22.95,0.00
1695654789,6.30,22.84,0.00
1695654790,6.30,22.51,0.00
1695654791,6.29,22.30,0.00
1695654792,6.28,22.15,0.00
1695654792,6.28,22.02,0.00
1695654793,6.27,21.71,0.00
1695654794,6.27,21.39,0.00
1695654795,6.26,21.34,0.00
